loan_id,account_id,label,loan_status,loan_date,n_transactions,cash_flow_stability,cash_flow_stability_source,balance_trend,balance_trend_source,income_to_expense_ratio,income_to_expense_ratio_source,spending_volatility,spending_volatility_source,recurring_payment_discipline,recurring_payment_discipline_source,salary_regularity,salary_regularity_source,income_consistency,income_consistency_source,monthly_income,monthly_income_source,savings_ratio,savings_ratio_source,financial_stability_index,financial_stability_index_source
5314,1787,1,B,1993-07-05,4,0.7512053409602382,direct,209.33333333333334,direct,5025.0,direct,0.0,direct,100.0,direct,0.25,proxy,0.0,proxy,5800.0,proxy,0.945273631840796,direct,81.25217884827084,composite
5316,1801,0,A,1993-07-11,37,3.25584534319533,direct,-34.0424483191741,direct,11415.411480195682,direct,32409.108513502804,direct,100.0,direct,0.3333333333333333,proxy,0.05687761329926699,proxy,19767.0,proxy,0.22405529164131077,direct,61.22581437921763,composite
6863,9188,0,A,1993-07-28,24,3.1336159840008615,direct,176.29356352617788,direct,2886.3177836038235,direct,10501.495080066774,direct,100.0,direct,0.6666666666666666,proxy,0.0,proxy,12710.0,proxy,0.2591328879780693,direct,68.69377050419072,composite
5325,1843,0,A,1993-08-03,25,1.6145487105445893,direct,128.91377958187036,direct,2662.6986516985185,direct,7505.02379663116,direct,100.0,direct,0.7142857142857143,proxy,0.0,proxy,17632.0,proxy,0.2767247555893202,direct,74.19693544327262,composite
7240,11013,0,A,1993-09-06,27,2.84411130341913,direct,61.62577198721385,direct,87.36630133465087,direct,21230.83716358511,direct,100.0,direct,0.7142857142857143,proxy,0.0,proxy,42244.0,proxy,0.14672067994778654,direct,69.60993770673603,composite
6687,8261,0,A,1993-09-13,17,2.491531274710867,direct,392.681537915323,direct,11581.881452387915,direct,3815.7568056677824,direct,100.0,direct,0.6,proxy,0.0,proxy,21959.0,proxy,0.422296434994223,direct,73.26179430062207,composite
7284,11265,0,A,1993-09-15,43,3.1795629605416504,direct,5.12434932460619,direct,2053.1494188941037,direct,8244.03462586014,direct,100.0,direct,0.7777777777777778,proxy,0.0,proxy,7618.0,proxy,0.22159699418486292,direct,68.35426586967617,composite
6111,5428,1,B,1993-09-24,32,4.627745892636819,direct,-309.68110563461084,direct,14087.418905400411,direct,31009.447088073015,direct,100.0,direct,0.16666666666666666,proxy,0.0,proxy,23151.0,proxy,0.26701654597995494,direct,57.95421856667661,composite
7235,10973,0,A,1993-10-13,32,3.5492575535462048,direct,63.58413207069086,direct,1331.4003281358416,direct,13709.697381780534,direct,100.0,direct,0.2857142857142857,proxy,0.038995653577231504,proxy,24866.0,proxy,0.24380833531459298,direct,63.48050372175885,composite
5997,4894,0,A,1993-11-04,13,0.957498210802978,direct,380.65966712441207,direct,163.65085796407186,direct,9971.626413646538,direct,100.0,direct,0.8,proxy,0.0,proxy,29255.0,proxy,0.4425369636001976,direct,83.33682878443037,composite
7121,10364,0,A,1993-11-10,45,1.8849158841641815,direct,52.27111620186813,direct,3121.4363165167106,direct,9320.174321446078,direct,100.0,direct,0.8181818181818182,proxy,0.0,proxy,14493.0,proxy,0.3025686297383447,direct,72.45107296653708,composite
6077,5270,0,A,1993-11-22,53,2.6055971111816434,direct,97.49571965541989,direct,4152.474959359082,direct,26531.480858289422,direct,100.0,direct,0.9090909090909091,proxy,0.0,proxy,44749.0,proxy,0.1986285854970186,direct,72.64907911147817,composite
6228,6034,1,B,1993-12-01,68,3.830221751244767,direct,-43.39937530975544,direct,6820.48872328061,direct,23207.58264631873,direct,100.0,direct,0.4444444444444444,proxy,0.11596214099874468,proxy,20068.571428571428,proxy,0.20437905839502252,direct,62.40270202308683,composite
6356,6701,0,A,1993-12-08,47,12.336451283639626,direct,13.267874700820611,direct,3260.968870298183,direct,28302.505793909586,direct,100.0,direct,0.3333333333333333,proxy,0.07878871288492292,proxy,19009.75,proxy,0.1066493234192083,direct,60.47226573472355,composite
5523,2705,0,A,1993-12-08,19,2.2409943226326945,direct,219.20307377287003,direct,6247.02128230968,direct,7196.0058365735085,direct,100.0,direct,0.8333333333333334,proxy,0.0,proxy,15649.0,proxy,0.4012908097731732,direct,74.30650613077792,composite
6456,7123,0,A,1993-12-09,43,1.7097144644657936,direct,246.46680587648757,direct,3094.7121746782946,direct,23914.96587813541,direct,100.0,direct,0.4444444444444444,proxy,0.035547302199411185,proxy,25529.2,proxy,0.2683954554668076,direct,67.22752608418308,composite
7104,10320,0,A,1993-12-13,17,0.8095728085452956,direct,315.35880897169494,direct,137.91784727693096,direct,12412.27050945958,direct,100.0,direct,0.6666666666666666,proxy,0.0,proxy,25973.0,proxy,0.45986215109375594,direct,81.56450765737091,composite
6820,9034,0,A,1993-12-16,29,1.3587916475797308,direct,113.28914843395256,direct,3504.8017767864953,direct,5263.747806648795,direct,100.0,direct,0.7142857142857143,proxy,0.0,proxy,21804.0,proxy,0.3224439907314,direct,77.30106390198605,composite
6876,9236,0,A,1993-12-21,15,0.7679661307272578,direct,299.97696484549954,direct,3315.298737192875,direct,4517.742799230607,direct,100.0,direct,0.6,proxy,0.0,proxy,11906.0,proxy,0.6225637539878265,direct,82.51211233748967,composite
7097,10266,1,B,1993-12-23,23,4.511860763724182,direct,122.18239488064872,direct,4343.523509754411,direct,14966.89680595146,direct,100.0,direct,0.2857142857142857,proxy,0.1244064684498404,proxy,43902.0,proxy,0.23724586794553398,direct,64.34935763431243,composite
4959,2,0,A,1994-01-05,55,5.65336294837729,direct,-26.164277693258857,direct,2088.3010756954836,direct,9033.207853519638,direct,100.0,direct,0.6666666666666666,proxy,0.0,proxy,20236.0,proxy,0.08515894987565882,direct,68.27590595661329,composite
6499,7401,0,A,1994-01-05,55,5.5244586838863725,direct,-13.69551409468943,direct,2088.315217414712,direct,9362.197184683138,direct,100.0,direct,0.6666666666666666,proxy,0.0,proxy,20236.0,proxy,0.08912830643930598,direct,68.28673181600993,composite
